sustancia_retc,cas,umbral_mpu_kg_anual,umbral_emision_transferencia_kg_anual,fuente_normativa,aplicable_columna_umbral,notas
Isoxatión,18854-01-8,2500,100,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
L-cialotrina,91465-08-6,2500,100,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
Lindano,58-89-9,5,10,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
Mercurio,7439-97-6,5,1,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)","Nota 4: en forma de polvos, respirables, vapores o humos"
Metam-sodio,137-42-8,2500,500,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
Metano,74-82-8,2500,100000,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
Metil paration,298-00-0,5,100,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
Metilcarbamato de 3-isopropilfenilo,64-00-6,2500,500,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
Metileno bis(fenilisocianato),101-68-8,5000,100,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
Metoxicloro,72-43-5,50,100,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
Mirex,2385-85-5,5,10,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
Monocrotofos,6923-22-4,2500,500,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
Naled,300-76-5,2500,500,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
Níquel,7440-02-0,5,1,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)","Nota 4: en forma de polvos, respirables, vapores o humos"
Nitrato de cadmio,10325-94-7,2500,100,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
Nitrato de plata,7761-88-8,2500,500,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
Nitrato de propilo,627-13-4,2500,100,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
Nitrosodimetilamina,62-75-9,2500,100,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
Oxido de etileno,75-21-8,2500,100,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
Oxido nitroso,10024-97-2,100000,,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
P-benzoquinona,106-51-4,2500,500,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
Pentaclorobenceno (PeCB),608-93-5,5,10,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
Pentaclorofenol,87-86-5,2500,100,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
Perfluorocarbonos,,5000,1000,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
Piretrum,8003-34-7,2500,500,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
Piridina,110-86-1,5000,1000,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
Plomo,7439-92-1,5,1,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)","Nota 4: en forma de polvos, respirables, vapores o humos"
Praletrina,23031-36-9,2500,100,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
Propoxur,114-26-1,2500,100,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
Sulfato de cadmio,10124-36-4,2500,100,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
Sulfato de cobre,7758-98-7,2500,100,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
Sulfato de dietilo,64-67-5,2500,500,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
Sulfato de dimetilo,77-78-1,2500,500,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
Temefos,3383-96-8,2500,100,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
Terbutilazina,5915-41-3,5000,500,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
Tetrametrin,7696-12-0,2500,100,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
Toluen diisocianato (resina),26471-62-5,5000,100,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
Tolueno,108-88-3,5000,1000,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
Toxafeno,8001-35-2,5,10,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
Triadimefon,43121-43-3,5000,500,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
Trialato,2303-17-5,5000,1000,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
Tricloroetileno,79-01-6,2500,100,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
Tris(2-cloroetil)amina (HN3),555-77-1,5000,1000,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
"Tritiofosfato de S,S,S-tributilo",78-48-8,2500,100,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
Valinomicina,2001-95-8,5000,1000,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
Warfarina,81-81-2,2500,500,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
Xileno (mezcla de isómeros),1330-20-7,5000,1000,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
